,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd,delzprime,delzstdprime,delaprime,delastdprime
run_00000013,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.14,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,13,7.876032603184763,0.7315062191214792,1.373846825390328,1.099653929779043,31238.398699077974,20918.39872139605,7.831864240855731,0.7077387849444876,0.09018430296277666,0.10247460796531156,0.026381270584016528,0.031170534295791797,5450.7339857076395,5074.562528941743,4.321175283743187,3.446883532091892,7.144526384063256,0.2741928956112863,7.124125455911245,0.08914551455543697,2.8264998319194405,0.021761761630253933,7.130755574317402,2.80973125952368,7.144526384063256,0.08914551455543697
run_00000014,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.15000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,14,5.092470696085478,4.67127762429827,2.153903519232811,0.643627680058929,27041.080031736634,19973.518046751644,5.213779478839906,4.690517922601308,0.15050228427057888,0.12012624975222463,0.03226328257229832,0.024430383687087488,4874.583468775316,4161.835770495525,6.815690760672674,2.0479156938641814,0.4211930717871925,1.5102758391738902,0.5232615562385974,0.1165266094792748,5.557761794206189,0.025523265391421454,4.469416629350746,3.344672451923843,0.4211930717871925,0.1165266094792748
run_00000015,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.16,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,15,4.880958407549895,5.247831091001346,2.100845700872553,0.5909423155566487,27851.347866561155,19276.651149072568,4.853290393680869,5.24229403366939,0.11282923718200705,0.10984191168946328,0.03124045175537876,0.04753899139667224,4940.7447086372795,4444.146256971054,6.65436249977674,1.8814339465020637,0.36687268345146473,1.509903385315906,0.38900363998852167,0.056956245130159185,5.607743096755351,0.03161114925146276,4.4908057980278375,3.3809421402223343,0.36687268345146473,0.056956245130159185
run_00000016,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.17,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,16,4.925100056357866,5.045561807424758,2.0998450560967954,0.5178975387171061,28372.800901045284,19457.094155943483,4.832043896869508,5.03483131932392,0.10134310628457399,0.11108546995372291,0.02613926660289311,0.04020430997545772,5102.8083731500265,4744.378179815578,6.571297686735406,1.6411220882566662,0.1204617510669062,1.5819475173796826,0.2027874224544118,0.15938493386396566,5.7239202799672295,0.02910013535067867,4.597555333924585,3.415680175547387,0.1567252801534116,0.12390228881566565
run_00000017,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.18000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,17,4.944009507214872,5.050134422757703,2.09290203750921,0.5467675327205368,29623.93081781291,17374.057670630915,5.108331249434426,5.0694008540747415,0.10126052513486752,0.11254884240436593,0.03201645950325017,0.05692944808925371,4812.040958595166,4120.8004271494565,6.583407672064687,1.732712980482594,0.1061249155428247,1.5461345047886772,0.03893039535968402,0.10119425238440032,5.767199321057662,0.03095187431503532,4.610364166700709,3.465060726003644,0.11946503216447024,0.08503458416756958
run_00000018,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.19,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,18,4.973068592750741,4.936799968774335,2.080564060257866,0.496175832681072,29442.96263514266,18524.346901245433,5.06759830767412,4.951967851661115,0.10048137817801035,0.10395933168736603,0.012298409679482139,0.024463293933682014,5052.548890809639,4588.595019138664,6.551461600607241,1.5652942461518027,0.03626862397642499,1.5843882275768002,0.11563045601300513,0.09710020418735137,5.8511213432311315,0.024860121882451347,4.684560730592842,3.507689002314788,0.08346077875804526,0.061466748307269815
run_00000019,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.2,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,19,4.955362992578363,4.997977405097741,2.0486023059643648,0.4479141370504149,29906.31090812072,17322.79560281978,4.938467490537099,5.000359187119875,0.08465442944885786,0.10635349758910348,0.013259465974062835,0.0425714310468124,5194.65865837184,4650.572610754962,6.482154214526921,1.4171511153207637,0.04261441251936891,1.6006881689139494,0.061891696582774616,0.05922426551258616,5.92432850194482,0.037179215093031126,4.740113860241242,3.5542677688956568,0.060171527937068675,0.04126607572322346
run_00000020,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.21000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,20,4.994619433639339,5.260180767405993,2.0440153339389977,0.4494663217802154,30726.716233517847,16771.188280009876,5.119490462780413,5.266956345187427,0.10314043370868375,0.1449698042425203,0.026660213784471327,0.040767937919260956,5057.77360544097,4553.300605315106,6.498938746427595,1.4338004089677732,0.2655613337666569,1.5945490121587824,0.14746588240701425,0.07602331169514803,5.966535280370405,0.0280832017635422,4.750358857510044,3.613222960634272,0.2655613337666569,0.07602331169514803
run_00000021,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.22,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,21,4.952027871159296,4.932977674200767,2.022208951160548,0.4514666879052675,29927.348735874784,17788.936139522382,4.91007423456892,4.918371977891374,0.08876288079165182,0.111724593207119,0.0240795799725834,0.01956631844842765,5020.312800531304,4198.9173426829975,6.4696200109764606,1.4242240622948603,0.019050196958528505,1.57074226325528,0.008297743322453416,0.054175273790402836,5.990734807013309,0.02719844131139791,4.7900642803675,3.597812748108553,0.04758223827415205,0.032152774300916204
run_00000022,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.23,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,22,5.084320176086593,5.270838066330213,2.029069499085003,0.38094646516091973,30665.651433176936,16536.052487917208,5.12130492284747,5.259532759681215,0.10657994568628526,0.11010411866438607,0.021370336343948696,0.026339254698897314,5227.324758878983,4631.939484236032,6.4394121987951305,1.21429269176545,0.18651789024362486,1.648123033924089,0.13822783683374493,0.09960225689065462,6.053995879521182,0.033859710970526306,4.825731845489006,3.6581805859700856,0.18651789024362486,0.09960225689065462
