,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd,delzprime,delzstdprime,delaprime,delastdprime
run_00000011,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.12,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,11,9.548048754422242,0.4643071327571949,1.2373689012652132,1.183326049089467,44935.34969232171,44328.21777020931,9.549314863510075,0.45837790007293894,0.03943763157903576,0.05018118168192997,0.017925084976215953,0.013956694401797682,2569.8575108310656,2433.0213680579127,1.7676185908461923,1.6908316561930652,9.083741621665059,0.054042852175750694,9.090936963437134,0.026161660956031424,0.8795862621983185,0.007242615198219061,9.090936963437134,0.8795862621983185,9.083741621665059,0.026161660956031424
run_00000012,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.13,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,12,9.440705266527434,0.362199215782978,1.1256946380738453,1.0417795872939637,45031.32886191304,43927.705740146055,9.44775496065371,0.3589213190240199,0.0472678846993183,0.04542903628105844,0.004244707778026446,0.006584520121783024,2471.508824782289,2579.9980324502717,1.6006284499361298,1.4796520735919931,9.078506050744409,0.08391505077988358,9.088833641629689,0.02675072961075705,0.9500721828216633,0.005815872688123853,9.088833641629689,0.9500721828216633,9.078506050744409,0.02675072961075705
run_00000013,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.14,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,13,9.502193399459486,0.42908241864560753,1.0608619604910428,0.9454935227652418,44870.89570541268,43803.54892546341,9.488787996672086,0.4111659080349065,0.025209882107690793,0.047046404218942024,0.010718899040957668,0.008980616539280168,2521.68269093293,2593.9244166129342,1.511820481330756,1.3544472537297905,9.073110980813865,0.11536843772579497,9.07762208863718,0.035816507852477496,0.9969281273471721,0.005102573259308081,9.07762208863718,0.9969281273471721,9.073110980813865,0.035816507852477496
run_00000014,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.15000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,14,9.462386399768903,0.38489032129393064,1.0001373101823237,0.8661493333109423,44936.188474487375,43662.43783313823,9.47282803242377,0.3945393156375481,0.019784619560751393,0.023000471575730243,0.010277316974800336,0.01704910345659156,2432.85447677777,2421.923688856238,1.4119825095397383,1.2043258541962445,9.07749607847498,0.1339879768713791,9.07828871678622,0.02490990822657538,1.03434794114645,0.009152845436011624,9.07828871678622,1.03434794114645,9.07749607847498,0.02490990822657538
run_00000015,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.16,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,15,9.459023067929479,0.37698351257593543,0.9488399211281418,0.7704762456464572,44806.70268134294,43553.53977200306,9.437448652307577,0.3646868588645583,0.026991542613877546,0.043637899853165865,0.006053193083170681,0.011225162549065932,2721.0345739518416,2563.8186419920457,1.3364240412493902,1.078444299343823,9.08203955535355,0.17836367548168408,9.07276179344302,0.03468328252331725,1.0277554392749322,0.009066843784263385,9.07276179344302,1.0277554392749322,9.08203955535355,0.03468328252331725
run_00000016,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.17,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,16,9.476960684042114,0.3945535745632755,0.9282906066504537,0.7294958297931968,44735.74376494541,43598.18549899281,9.477319648087665,0.4037661385677534,0.061419452678009384,0.06182706900661769,0.0062760153326828745,0.007184703579352505,2635.795431196958,2590.5487185371867,1.2985167864742835,1.0273830622332873,9.082407109478847,0.19879477685725272,9.073553509519911,0.020437666594248824,1.043257074652246,0.00582021388054346,9.073553509519911,1.043257074652246,9.082407109478847,0.020437666594248824
run_00000017,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.18000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,17,9.449104038351768,0.38449006274543973,0.8946457558720875,0.6645195233676064,44951.76246612862,43274.282804057315,9.46824133122561,0.3965038536784858,0.03406106928152369,0.04532239392819351,0.008442219720705227,0.007975344559245302,2553.8604279270844,2542.5906203328736,1.2734104625157339,0.9502556313311834,9.064613975606317,0.23012623250447836,9.071737477547128,0.028262104613619547,1.0602301464477624,0.010354535066222352,9.071737477547128,1.0602301464477624,9.064613975606317,0.028262104613619547
run_00000018,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.19,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,18,9.428985259132146,0.37838478653027635,0.827995384351019,0.585138224129171,44604.06271413992,43451.04403161774,9.442122748952931,0.38130135497276124,0.03673979579856017,0.04004251199773708,0.007126230079859631,0.008012495772769551,2868.169509578095,2777.8344750462397,1.1673680234616122,0.8291628662749981,9.050600472601896,0.24285716022184725,9.06082139398017,0.030038774638560424,0.9992579953365864,0.010018967786817504,9.06082139398017,0.9992579953365864,9.050600472601896,0.030038774638560424
run_00000019,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.2,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,19,9.465900891668413,0.39143946077173797,0.8384377395222415,0.5912908258171299,44703.29090330588,43405.18215979561,9.466065386312406,0.4032746927321899,0.03424499572380247,0.034356405414010575,0.006661828872780096,0.006450378878432823,2663.6398910693233,2611.8331333811716,1.1960084004167808,0.8442156725611586,9.074461430896646,0.24714691370511294,9.062790693580217,0.028316916547285846,1.057515007540396,0.005182282166896258,9.062790693580217,1.057515007540396,9.074461430896646,0.028316916547285846
run_00000020,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.21000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,20,9.446176104199404,0.3704471354090324,0.8012337675045037,0.49909059496675334,44772.04991162994,43238.214569276344,9.448724094313263,0.39006565540839955,0.02629696681425968,0.029987286761957957,0.005713595943000814,0.009884712002931596,2689.1209512560526,2663.6344019498074,1.130016088110628,0.7038233963402836,9.075728968790369,0.30214317253775685,9.058658438904862,0.024956579724342128,1.0156132354493113,0.00872492004521612,9.058658438904862,1.0156132354493113,9.075728968790369,0.024956579724342128
